교과목번호,교과목명,교원명,요일1,요일2,강의시작시간1,강의종료시간1,강의시작시간2,강의종료시간2,강의실,개설학과/전공
27,데이터사이언스캡스톤디자인,임상수,목,금,17:00,18:50,16:00,18:00,"407-226(정보문화관P P404 강의실),408-221(정보문화관Q Q201 (Q) 공용컴퓨터실)",연계전공 데이터사이언스소프트웨어
28,데이터랭글링,한웅진,월,수,17:00,18:50,17:00,18:50,"407-226(정보문화관P P404 강의실),408-229(정보문화관Q Q202 컴퓨터실습실)",연계전공 데이터사이언스소프트웨어
29,데이터분석및시각화,조성균,월,수,15:00,17:00,15:00,17:00,"407-226(정보문화관P P404 강의실),408-229(정보문화관Q Q202 컴퓨터실습실)",연계전공 데이터사이언스소프트웨어
30,사이버범죄수사론,이미정,금,,12:00,15:00,,,207-328(혜화관 328 328 강의실),연계전공 범죄수사소프트웨어
31,식품포장특론,정승원,수,,15:00,18:00,,,202-264(사회과학/경영관 222 MBA 205 강의실),연계전공 그래픽커뮤니케이션사이언스
32,4차산업과패키징,김병수,월,,15:00,18:00,,,202-264(사회과학/경영관 222 MBA 205 강의실),연계전공 그래픽커뮤니케이션사이언스
33,현장실습(Co-op)3,김동호,,,,,,,,연계전공 데이터사이언스소프트웨어
34,현장실습(Co-op)3,김동호,,,,,,,,연계전공 융합소프트웨어
35,현장실습(Co-op)4,김동호,,,,,,,,연계전공 데이터사이언스소프트웨어
36,현장실습(Co-op)4,김동호,,,,,,,,연계전공 융합소프트웨어
37,현장실습3,김동호,,,,,,,,연계전공 데이터사이언스소프트웨어
38,현장실습3,김동호,,,,,,,,연계전공 융합소프트웨어
39,현장실습4,김동호,,,,,,,,연계전공 데이터사이언스소프트웨어
40,현장실습4,김동호,,,,,,,,연계전공 융합소프트웨어
41,키네틱아트,홍기원,금,,14:00,17:00,,,102-223(학술/문화관 K223 문화 PBL),연계전공 예술융복합
42,데이터베이스,송충건,화,목,17:00,18:50,17:00,18:50,"407-226(정보문화관P P404 강의실),407-224(정보문화관P P403 컴퓨터실습실2)",연계전공 융합소프트웨어
43,융합캡스톤디자인,신연순,수,금,17:00,18:50,16:00,18:00,"407-224(정보문화관P P403 컴퓨터실습실2),407-226(정보문화관P P404 강의실)",연계전공 융합소프트웨어
44,융합캡스톤디자인,신연순,월,금,19:15,21:05,18:00,19:40,"407-226(정보문화관P P404 강의실),407-226(정보문화관P P404 강의실)",연계전공 융합소프트웨어
45,자료구조및알고리즘2,김광일,월,수,13:00,15:00,13:00,15:00,"407-203(정보문화관P P401 강의실_스마트),408-229(정보문화관Q Q202 컴퓨터실습실)",연계전공 융합소프트웨어
46,오픈소스소프트웨어프로젝트,김동호,월,수,13:00,15:00,13:00,15:00,"407-226(정보문화관P P404 강의실),407-224(정보문화관P P403 컴퓨터실습실2)",연계전공 융합소프트웨어
47,모바일프로그래밍,송충건,화,목,15:00,17:00,15:00,17:00,"407-226(정보문화관P P404 강의실),407-224(정보문화관P P403 컴퓨터실습실2)",연계전공 융합소프트웨어
48,머신러닝과데이터사이언스,선석규,화,목,10:00,12:00,10:00,12:00,"407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",연계전공 융합소프트웨어
49,웹서버실습,김동호,화,목,19:15,21:05,19:15,21:05,"407-226(정보문화관P P404 강의실),407-224(정보문화관P P403 컴퓨터실습실2)",연계전공 융합소프트웨어
50,서베이설계및관리실습,홍성준,월,,15:00,18:00,,,102-211(학술/문화관 K211 (K) 공용컴퓨터실),연계전공 서베이리서치
